language,script,country,region_dialect,source_type,source_ref,collection_date,text,domain,topic,theme,sensitive_characteristic,safety_flag,pii_removed,collector_id
Hausa,latin,Nigeria,Standard,web_public,http://harunaabubakarshika.blogspot.com,2026-03-04,Ina godiya ga Allah da ya bani ikon rubuta wannan littafi taqaitacce wanda yake magana akan hukunce hukunce janaza wanda ya shafi tun daga rashin lafiya jinya zuwa qabari,culture_and_religion,Islamic funeral rites,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,http://harunaabubakarshika.blogspot.com,2026-03-04,"Wannan littafi ya zo ne sakamakon shawarar da Malamina Malam Ahmad Bello Dogarawa ya bani na in rubuta littafin da yake bayani akan yadda shara’a ta koyar da mu game da Janaza, ya bani wannan shawarar ne bayan munta shi karatu ya xauko ni a motarsa ya kawo ni inda zan shiga mota in dawo gida, bayan na dawo gida naba Allah zavi akan shawar da ya bani sai na same natsuwa akan rubuta wannan littafi taqaitatce akan hukunce-hukuncen janaza daga Qur’ani da Hadisai bisa fahintar magabata na qware",culture_and_religion,Islamic funeral rites,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,http://harunaabubakarshika.blogspot.com,2026-03-04,Don haka lalle malamina yana da falala mai yawa akaina Allah ya sakamasa da Aljannatil Firdausi amin,culture_and_religion,religious blessing,public_interest,religion,safe,false,
Hausa,latin,Nigeria,Standard,web_public,http://harunaabubakarshika.blogspot.com,2026-03-04,"Gaskiya duniyar musulincin qasar Hausa ta na buqatuwa ya zuwa ga wannan littafi kusa kana iya cewa dukkan wani musulmi yana da buqatuwa ya zuwa ga wannan littafin masammam waxanda suke iya karatan Hausa domin yau an wayi gari an maida sha’ani janaza ya zama al’ada an jivinta janaza ya zuwa ga waxanda ba su san me shara’a ta ce ba, na ga mahimmanci fitar da wannan littafin cikin gaggawa saboda duka ranar da naje na halarci janaza nakan dawo gida cikin damuwa ganin yadda ake yin aiki da ka ba tare da la’akari akan me shara’a ta ce game da gawa ba",culture_and_religion,Importance of Islamic literature,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,http://harunaabubakarshika.blogspot.com,2026-03-04,Na fara littafin nawa tun daga rashin lafiya da neman magani da hukuncin shan magani da yadda ake jinya da ladubban zuwa ziyarar mara lafiya da yadda ake so likita ya kula da mara lafiya da mutuwa da alamomin mutuwa da alamomin kyawawan cikawa da alamomin munanan cikawa da me ya kamata ayi ma mutum da zaran ya rasu da yadda ake wankan gawa da likafani da yadda ake sanya sa da dai sauran su za a gani insha Allah,health,healthcare and death,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,http://harunaabubakarshika.blogspot.com,2026-03-04,Kamar yadda yake al’adata ce littafina yana taqaituwa ne qarqashen Qur’ani da hadisi bisa fahintar magabata na qwarai (SalafusSalih) ina roqon duk wanda ya ga kuskure ko shawara qofa a buxe take kuma ina lale maraba da gyransa ko shawaransa,culture_and_religion,Hausa cultural and religious practices,public_interest,,safe,false,
Hausa,latin,Nigeria,Zaria,web_public,http://harunaabubakarshika.blogspot.com,2026-03-04,Addua wadda bata da iyaka da fatan alheri ya zuwa ga mahaifana Malam Abubakar Ibrahim da Malama Fatimatu Dalhatu Zaria Allah ya jiqansu ya sakama su da Aljannatil Firdausi amin Allah ya albarkaci zuri’ar su ya yafe masu zunubansu amin,culture_and_religion,Islamic prayer and blessings,public_interest,religion,safe,false,
Hausa,latin,Nigeria,Zaria,web_public,http://harunaabubakarshika.blogspot.com,2026-03-04,Godiya zavavviya ga Malam Musa Sahabi Zaria Allah ya saka masa da alheri gaskiya yana taimaka man sosai wajen ganin naci gaba da talifi haka shima Malam Kidir Ibrahim Zaria alherin Allah ya je ya zuwa gare shi yana zaburar da ni akan cigaba da rubutu,culture_and_religion,Praise and gratitude,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,http://harunaabubakarshika.blogspot.com,2026-03-04,Malam Abubakar Jumare Allah ya saka masa da Aljannah ya yi iya bakin qoqarinsa na ya duba wannan littafin amma Allah bai yarda ba saboda yanayin jikinsa Allah ya bashi sauqi amin kuma Allah ya sa kaffara ne,culture_and_religion,Religious supplication,public_interest,religion,safe,false,
Hausa,latin,Nigeria,Standard,web_public,http://harunaabubakarshika.blogspot.com,2026-03-04,Babu shina yiwuwa in manta da Malamina Sheikh Muhammad Aminu Jumare Alqali Allah ya yi mai sakamako da Aljannah haka shima Malam Haruna Ishaq Shika shima Alla ya saka masa da Aljanna amin,culture_and_religion,Religious praise and blessing,public_interest,,safe,false,
