language,script,country,region_dialect,source_type,source_ref,collection_date,text,domain,topic,theme,sensitive_characteristic,safety_flag,pii_removed,collector_id
Hausa,latin,Nigeria,Standard,web_public,https://gidandabino.blogspot.com/,2026-03-04,Me Ya Sa Muke Rubutu?,education,reason for writing,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidandabino.blogspot.com/,2026-03-04,Wace Irin Gudummawa Muke Bukata?,livelihoods_and_work,Requesting aid or assistance,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidandabino.blogspot.com/,2026-03-04,Daga Ado Ahmad Gidan Dabino Shugaban Kamfanin Gidan Dabino International Nig,livelihoods_and_work,business and work,public_interest,,safe,false,
Hausa,latin,Nigeria,Kano,web_public,https://gidandabino.blogspot.com/,2026-03-04,", Kano An Gabatar Da Wannan Takarda a Bikin Cika Shekara Hamsin a Duniya na Farfesa Ibrahim Malumfashi da kuma Bikin Cika Shekara Tamanin da Biyar da Fara Rubutu Kagaggun Labarai na Hausa, Wanda Aka yi a Sashen Nazarin Harsunan Nijeriya da Kimiyyar Harshe, Jami’ar Jihar Kaduna, a Ranar 8 ga Watan Disamba, 2012",culture_and_religion,50th anniversary ceremony,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidandabino.blogspot.com/,2026-03-04,"Tsakure ‘Nakan ji dadi a duk lokacin da na zo wucewa na ga wani ko wata suna karanta abin da na rubuta a cikin littafi, nakan ji kamar babu ya ni a wannan lokaci, ba don komai ba sai don na cika buri na, wato na isar da sakon da nake so ya isa ga jama’a, wanda kuma shi ya sa nake rubutu’",culture_and_religion,personal experience,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidandabino.blogspot.com/,2026-03-04,"Gabatarwa Wadannan kalamai su ne suke fitowa daga ruhina zuwa zuciyata daga nan kuma har bakina ya furtawa a lokacin da na fara buga littafi ya shiga kasuwa, wato In Da So Da Kauna na daya a shekara ta 1991, wanda ake sayar da shi Naira biyar kacal ga masu karatu",media_and_online,Book publication,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidandabino.blogspot.com/,2026-03-04,Ba ni da wani buri ko bukata da suka wuce haka a wannan lokaci,livelihoods_and_work,lack of purpose or need,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidandabino.blogspot.com/,2026-03-04,"Lokaci ne na samartaka, wanda babu wani abu da yake damun rayuwa ta face abin da na sa a gaba in ga na cim ma burina",livelihoods_and_work,Personal goals and aspirations,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidandabino.blogspot.com/,2026-03-04,"Babu tunanin samun kudi ko suna a cikin zuciyata a wancan lokacin, fatana kawai ciwon da ke cikin zuciyata in bayyana shi ga jama’a, wadanda ba su sami kansu a irin wannan yanayi ba kada su sake su shiga, in kuma tsautsayi ya kai su sun shiga to, ta wace hanya za su bi su fita",livelihoods_and_work,personal financial situation,public_interest,,safe,false,
Hausa,latin,Nigeria,Kano,web_public,https://gidandabino.blogspot.com/,2026-03-04,"Na bukaci gudummuwoyi da dama a wancan lokacin, wadannan gudummuwoyi sun hada da neman shawarwari da duba min littafin a gyara Hausar da rabe-raben kalmominta kasancewar farin shiga ne ni a lokacin, kuma na sha wuya sosai wajen zirga-zirga a cikin birnin Kano da kewayenta",livelihoods_and_work,Seeking support and guidance,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidandabino.blogspot.com/,2026-03-04,Ba dare ba rana ina bisa kekena don zuwa wajen mutanen da na bai wa wannan littafi don su duba kuma su yi min gyare-gyare a cikinsa,education,Visiting someone to give a book,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidandabino.blogspot.com/,2026-03-04,Zirga-zirga ta aure ni,culture_and_religion,Marriage,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidandabino.blogspot.com/,2026-03-04,Je-ka-ka-dawo ba a magana,culture_and_religion,negation,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidandabino.blogspot.com/,2026-03-04,Hakuri dole ya zama abokin zamana saboda na yi ta samun sabanin lokaci na kammala aikin dubawar daga wasu mutanen da na bai wa karantawa da yin gyaran littafin,culture_and_religion,Patience and perseverance,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidandabino.blogspot.com/,2026-03-04,"Amma da ya kasance a kullum hakuri muka zama abokai da shi sai na ga alfanun abin, domin ko yanzu (yau shekara ahirin da daya) in aka dauko littafin aka karanta ba za a ga gyare-gyare rakwacam ba kamar yadda marubutan yanzu suke barin gyara a cikin littattafansu, wanda ba wani abu ne yake kawo hakan ba face rashin hakuri da juriya wajen kai wa a duba littafin",culture_and_religion,Patience and friendship,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidandabino.blogspot.com/,2026-03-04,Taken mukalata shi ne Me Ya Sa Muke Rubutu?,education,Reason for writing,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidandabino.blogspot.com/,2026-03-04,"Wadannan tambayoyi guda biyu suna da amsoshin su, kuma na san kowa ya tashi bayar da amsa za a ji ya fadi gwargwadon fahimtarsa da kuma ra’ayinsa",education,Hausa questions and answers,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidandabino.blogspot.com/,2026-03-04,Don haka in muka ce tambaya ce mai sauki ba mu yi kuskure ba,education,asking questions,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidandabino.blogspot.com/,2026-03-04,Domin in dai kai marubuci ne kana da amsar da za ka bayar,education,request for information,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidandabino.blogspot.com/,2026-03-04,"Wannan tambaya tana iya zama mai saukin gaske ga duk marubuta tun da kowa da irin dalilin da ya sanya ya shiga fagen rubutu, don haka ra’ayi ko amsar wannan tambaya ma za su bambanta",education,Hausa writing and analysis,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidandabino.blogspot.com/,2026-03-04,"Amma don ba na son arar bakin marubuta in ci musu albasa sai na je kai tsaye ga marubuta don in ji waka a bakin mai ita, wato su marubutan su gaya min da kansu daga wasu jihohi kamar Kano da Kaduna da Bauchi da Jigawa, na kuma yi musu tambaya kamar haka: Salam",culture_and_religion,Discussing Hausa writers,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidandabino.blogspot.com/,2026-03-04,"Ina rubuta wata takarda a kan rubutu da marubuta don haka nake son a ba ni wannan amsarzan yi amfani da ita, Me ya sa kuke rubutu?",education,Writing and language use,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidandabino.blogspot.com/,2026-03-04,Wace gudummawa kuke bukata?,livelihoods_and_work,Asking for help,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidandabino.blogspot.com/,2026-03-04,"Marubuta goma sha uku, maza guda 4 da kuma mata guda 12 na aikawa wannan sakon, duk sun ba ni amsoshinsu, kuma cikin mabambantan ra’ayoyi, wasu sun yi daidai da junansu wajen amsar, wato ra’ayinsu ya zo daya",livelihoods_and_work,Work and employment,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidandabino.blogspot.com/,2026-03-04,"Sannan kuma kamar hadin baki babu wata amsa da na same ta da safe, duk lokacin da na sami sakonne da yamma ne, sun fara daga 4",household_and_care,"communication, time",public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidandabino.blogspot.com/,2026-03-04,18 zuwa 11,household_and_care,time,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidandabino.blogspot.com/,2026-03-04,"26 na dare, a ranar farko, haka kuma a sauran ranaikun, duk da yamma na same su",culture_and_religion,time of day,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidandabino.blogspot.com/,2026-03-04,"Ga amsoshin da suka rubuto min kamar haka: Da farko dai ni na fara rubutu domin sha'awa, ina jin dadi kawai idan ina rubutu, lokaci guda kuma sai nake amfani da damar domin na wa'azantar cikin nishadi",education,writing for pleasure,public_interest,,safe,false,
Hausa,latin,Nigeria,Kano,web_public,https://gidandabino.blogspot.com/,2026-03-04,"Nazir Adama Saleh, Kano, ranar 10/11/2012, karfe 4",household_and_care,date and time,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidandabino.blogspot.com/,2026-03-04,18 na yamma,culture_and_religion,time of day,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidandabino.blogspot.com/,2026-03-04,"In muka dubi abin da Nazir Adam Saleh ya bayyana game da dalilinsa na fara yin rubutun littafi, za mu ga sha’awa ce kawai ta kai shi ba wani abu ba, sai kuma jin dadin yin rubutun, sannan kuma ya gane cewa ashe baiwar rubutun da yake da ita hanyar wa’azantarwa ce ta samu gare shi, wanda kuma har zai iya nishadantar da masu karatu",education,Writing a book,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidandabino.blogspot.com/,2026-03-04,Don fadakarwa da nishadantarwa da kuma akida,culture_and_religion,advice and guidance,public_interest,,safe,false,
Hausa,latin,Nigeria,Kano,web_public,https://gidandabino.blogspot.com/,2026-03-04,"Alawiyya Wada Isa, Kano ranar 10/11/2012, karfe 4",culture_and_religion,Date and time,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidandabino.blogspot.com/,2026-03-04,37 na yamma,culture_and_religion,time of day,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidandabino.blogspot.com/,2026-03-04,Malama Alawiyya Wada Isa kuwa don ta fadakar da al’ummrta ta nishadantar da kuma akida su suka jawo ta afka fagen rubuta littafi,culture_and_religion,Mobilizing community,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidandabino.blogspot.com/,2026-03-04,Ni dai ina yin rubutu don tallafa wa adabi da inganta al'ada da kuma ba wa mata gudummawa ta zamtakewa da mazajensu da kuma yadda za su yi girki mai kyau da tarbiyyar yaransu da hakuri da juriya da yin sana'a,culture_and_religion,Hausa cultural and family values,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidandabino.blogspot.com/,2026-03-04,Sannan shi Rubutu babbar cuta ce da ba shi da magani tilas sai ka yi shi muddin saboda Allah kake don karuwar jama’a ba don kudi ba,health,health and medicine,public_interest,,safe,false,
Hausa,latin,Nigeria,Kano,web_public,https://gidandabino.blogspot.com/,2026-03-04,"Sadiya Garba Yakasai, Kano ranar 10/11/2012, karfe 5",culture_and_religion,Sadiya Garba Yakasai,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidandabino.blogspot.com/,2026-03-04,20 na yamma,culture_and_religion,time of day,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidandabino.blogspot.com/,2026-03-04,"Sadiya Garba Yakasai ta lallabo da nata hujjojin shiga fagen rubutu ne saboda agaza wa adabi da al’ada da kuma bayar da gudummawa ga ‘yan’uwanta mata don su iya girki don kada a dinga samun sabani tsakanin magidanta da matansu wajen abinci domin wasu matan ba suiya dafa abinci ba, da tarbiyyar yaransu da nuna hakuri da juriya a rayuwa da kuma son a dogara da sana’a, bn das a ido a kana bin hannun mutane",culture_and_religion,Hausa women's roles,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidandabino.blogspot.com/,2026-03-04,Ina rubutu ne saboda girmama harshena,culture_and_religion,Writing for respect,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidandabino.blogspot.com/,2026-03-04,"Asama’u Lamido, Kaduna, ranar 10/11/2012, karfe 6",culture_and_religion,date and time,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidandabino.blogspot.com/,2026-03-04,23 na yamma,culture_and_religion,time of day,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidandabino.blogspot.com/,2026-03-04,"Asama’u Lamido, ra’ayinta ya bambanta da wasu don ta bayyana cewa harshenta da take girmamawa shi ne ya sa take rubutu",education,Hausa language and writing,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidandabino.blogspot.com/,2026-03-04,"Kishin harshe na da yada al'adata, sannan na isar da sakona na fadakarwa cikin nishadi",culture_and_religion,Hausa culture and language,public_interest,,safe,false,
