language,script,country,region_dialect,source_type,source_ref,collection_date,text,domain,topic,theme,sensitive_characteristic,safety_flag,pii_removed,collector_id
Hausa,latin,Nigeria,Katsina,web_public,https://gidanlabarai.blogspot.com/,2026-03-06,"Matasa sun kashe yan bindiga 3 suka kone gawarsu a jihar Katsina Football Geek hausa news , IFTTT ISYAKU",media_and_online,Hausa news about killings,public_interest,,sensitive,false,
Hausa,latin,Nigeria,Katsina,web_public,https://gidanlabarai.blogspot.com/,2026-03-06,"COM 0 Comments Fusatattun matasa sun kashe kuma suka kone gawar wasu da ake zargin yan bindiga ne guda uku a kasuwar garin Charanci, a karamar hukumar Charanci a jihar Katsina ranar Lahadi",governance_civic,Violent incident in Charanci,public_interest,,sensitive,false,
Hausa,latin,Nigeria,Katsina,web_public,https://gidanlabarai.blogspot.com/,2026-03-06,Katsina Post ta labarta cewa an kama yan bindiga ne dauke da AK 47 a cikin kasuwar,governance_civic,armed criminals,public_interest,,sensitive,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidanlabarai.blogspot.com/,2026-03-06,"Wani ganau ya ce wani saurayi ne ya kula cewa daya daga cikin mutanen wanda suka kawo Sa domin sayarwa a kasuwar ya boye bindiga AK47 a doguwar rigar Overall coat da yake sanye da ita Sakamakon haka jama'a suka fuskance su da tambayoyi, lamari da ya sa aka gano cewa sauran ma sun boye bindigu a cikin Overall coat da suke sanye da su",livelihoods_and_work,Weapons concealment,public_interest,,sensitive,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidanlabarai.blogspot.com/,2026-03-06,Sakamakon haka jama'a suka far masu da duka har suka kashe su kuma suka kone gawarsu,culture_and_religion,violence and destruction,hate_or_insult,ethnicity,sensitive,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidanlabarai.blogspot.com/,2026-03-06,DAGA ISYAKU,livelihoods_and_work,location,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidanlabarai.blogspot.com/,2026-03-06,COM Latsa nan ka shiga group din mu domin samun Labaran mu ta Whatsapp [URL],media_and_online,Joining Whatsapp group,public_interest,,safe,true,
Hausa,latin,Nigeria,Standard,web_public,https://gidanlabarai.blogspot.com/,2026-03-06,"com/J9zhUeQqg52KIxyFnYByJN Domin aiko labari, shawara ko tuntubarmu LATSA NAN SHAFUKANMU NA SADA ZUMUNTA Facebook",media_and_online,online engagement,public_interest,,safe,false,
Hausa,latin,Nigeria,Unknown,web_public,https://gidanlabarai.blogspot.com/,2026-03-06,com/isyakulabari Twitter,media_and_online,Twitter,public_interest,,safe,false,
Hausa,latin,Nigeria,Unknown,web_public,https://gidanlabarai.blogspot.com/,2026-03-06,com/isyakulabari from ISYAKU,media_and_online,social media,misinformation,,sensitive,false,
Hausa,latin,Nigeria,Unknown,web_public,https://gidanlabarai.blogspot.com/,2026-03-06,COM [URL],media_and_online,URL,public_interest,,safe,true,
Hausa,latin,Nigeria,Unknown,web_public,https://gidanlabarai.blogspot.com/,2026-03-06,tt/3mW5uu1 via IFTTT Share Facebook Twitter Google+ Read More,media_and_online,social media post,public_interest,,safe,false,
Hausa,latin,Nigeria,Kano,web_public,https://gidanlabarai.blogspot.com/,2026-03-06,"Jarumar budurwa mai POS ta cafke yan fashi 2 a shagonta Football Geek hausa news , IFTTT ISYAKU",livelihoods_and_work,Crime and security,public_interest,,sensitive,false,
Hausa,latin,Nigeria,Edo,web_public,https://gidanlabarai.blogspot.com/,2026-03-06,COM 0 Comments Wata jarumar budurwa mai sana'ar POS ta yi bajinta wajen kwatar kanta daga yan fashi da makami guda biyu a karamar hukumar Uhogwa Ovia na arewa maso gabas a jihar Edo,governance_civic,Criminal incident,public_interest,,sensitive,false,
Hausa,latin,Nigeria,Kano,web_public,https://gidanlabarai.blogspot.com/,2026-03-06,"COM ya samo cewa yan fashin masu suna Andrew Adubu da Destiny Olu sun bukaci budurwar ta basu kudi daga wajen sana'arta na POS, sai dai lokacin da ta zura katin ATM da suka kawo a na'urar POS, sai suka zaro bindigar hannu kirar gida watau Pistol suka nuna mata cewa dole ta basu duk kudadenta da wayoyinta na salula",livelihoods_and_work,Armed robbery incident,hate_or_insult,ethnicity,sensitive,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidanlabarai.blogspot.com/,2026-03-06,"Ana cikin haka ne sai ta buge hannun wanda yake rike da bindiga kuma bindiga ta fadi a kasa, sakamakon haka budurwar ta yi kururuwa nan take jama'a suka kawo mata dauki aka kama yan fashin",culture_and_religion,Firearm accident incident,public_interest,,sensitive,false,
Hausa,latin,Nigeria,Standard,web_public,https://gidanlabarai.blogspot.com/,2026-03-06,"Kakakin yan sandan jihar Edo SP Chidi Nwabuzor, ya tabbatar da faruwar lamarin, ya kuma ce wadanda aka kama sun tabbatar wa yan sanda lokacin bincike cewa sun aikata laifin",governance_civic,Police officer's statement,public_interest,,safe,false,
Hausa,latin,Nigeria,Unknown,web_public,https://gidanlabarai.blogspot.com/,2026-03-06,tt/2MmpUjp via IFTTT Share Facebook Twitter Google+ Read More,media_and_online,social media share,public_interest,,safe,false,
