language,script,country,region_dialect,source_type,source_ref,collection_date,text,domain,topic,theme,sensitive_characteristic,safety_flag,pii_removed,collector_id
Hausa,latin,Nigeria,Standard,web_public,https://kimiyyah.blogspot.com/,2026-03-04,Matakan Bacci,education,steps,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://kimiyyah.blogspot.com/,2026-03-04,"Baya bayani ya gabata cewa akwai nau'ukan bacci guda biyu; da bacci mai nauyi, da mara nauyi",health,types of sleep,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://kimiyyah.blogspot.com/,2026-03-04,"Mai nauyin, wanda Malaman Kimiyya ke kira Non-Rapid Eye Movement (NREM) Sleep, yana dauke ne da matakai guda hudu",health,sleep stages,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://kimiyyah.blogspot.com/,2026-03-04,"Da gajeren bacci ko gyangyadi, kamar yadda na kira shi, da mataki na biyu wanda ke dauke da bacci na hakika",health,sleeping and rest,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://kimiyyah.blogspot.com/,2026-03-04,Wannan shi ne matakin da malaman kimiyya ke kira True Sleep,health,sleep science,specialized_advice,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://kimiyyah.blogspot.com/,2026-03-04,Har dai zuwa mataki na hudun,culture_and_religion,going to a stage,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://kimiyyah.blogspot.com/,2026-03-04,"Nau'i na biyu kuma shi ne madaidaicin bacci, wanda suka kira Rapid Eye Movement (REM) Sleep",health,sleep stages,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://kimiyyah.blogspot.com/,2026-03-04,A wannan mataki ne kwayan idanun mai bacci ke jujjuya a sadda yake bacci,health,sleep,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://kimiyyah.blogspot.com/,2026-03-04,"Sai dai kuma, sabanin yadda bayanai suka zo, idan dan adam ya shiga bacci, matakan da yake bi cikin baccin sun sha bamban",culture_and_religion,dreams and sleep,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://kimiyyah.blogspot.com/,2026-03-04,"Ba wai daga gyangyadi yake farawa, daga nan ya wuce matakan nau'i na farko, ya shiga na biyu, daga nan ya farka ba",livelihoods_and_work,Movement and progression,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://kimiyyah.blogspot.com/,2026-03-04,Abin ya wuce haka,culture_and_religion,something happened,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://kimiyyah.blogspot.com/,2026-03-04,"Da zarar mutum ya kwanta bacci zai bi matakin farko na bacci mai nauyi, zuwa matakin bacci na biyu, da mataki na uku, da mataki na hudu",health,stages of sleep,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://kimiyyah.blogspot.com/,2026-03-04,"Wannan kan faru har na tsawon mintuna 90, kafin mai bacci ya shiga nau'in bacci na biyu, wato madaidaicin bacci kenan",health,Sleep duration,public_interest,,safe,false,
