language,script,country,region_dialect,source_type,source_ref,collection_date,text,domain,topic,theme,sensitive_characteristic,safety_flag,pii_removed,collector_id
Hausa,latin,Nigeria,Standard,web_public,https://nuriddeen.blogspot.com/,2026-03-06,SHIMFIDA; Na zabi sajjala wadannan ‘yan kalmomi ne saboda muhimmancin tarihi a rayuwar dan-adam,culture_and_religion,Hausa language history,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://nuriddeen.blogspot.com/,2026-03-06,A lokaci guda kuma mai yuwuwa wasu su amfana da wasu abubuwa da ke ciki,livelihoods_and_work,opportunity and benefit,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://nuriddeen.blogspot.com/,2026-03-06,Sannan ‘ya’yan marigayiyar da jikokinta masu zuwa za su ji dadin samun wannan tarihi a kammale,culture_and_religion,History and culture,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://nuriddeen.blogspot.com/,2026-03-06,"Musamman dayike muna lokaci ne na ‘internet’, matukar aka sanya shi a ‘net’ komin dadewa ana iya bincikawa kuma a sameshi",media_and_online,Internet usage,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://nuriddeen.blogspot.com/,2026-03-06,"Ta fuskar taskace tarihi kuma, Sayyid Zakzaky [H] yana cewa; ‘’Da kiyaye tarihi ne al’ummomi ke sanin tarihin kawukansu",culture_and_religion,Hausa history and identity,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://nuriddeen.blogspot.com/,2026-03-06,’’ Madalla da jagora abin koyi,education,Guidance and learning,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://nuriddeen.blogspot.com/,2026-03-06,Allah [T] ka kwato mana su kuma ka kara masu lafiya da kariya ta musamman,culture_and_religion,Prayer and protection,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://nuriddeen.blogspot.com/,2026-03-06,Masu sha’awar sake karanta wannan rubutu sai su shiga; http;//nuriddeen,media_and_online,website link,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://nuriddeen.blogspot.com/,2026-03-06,com WACE CE MARIGAYIYA HAJARA IDRIS (GWAMMA)?,culture_and_religion,WACE CE MARIGAYIYA HAJARA IDRIS (GWAMMA),public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://nuriddeen.blogspot.com/,2026-03-06,An haifi marigayiya Hajara Idris wacce aka fi sani da (Gwamma) a ranar alhamis 18/4/1985 a anguwar gwari da ke Suleja ta jihar Niger,culture_and_religion,Birth of Hajara Idris,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://nuriddeen.blogspot.com/,2026-03-06,bayan ta dan tasa sai saka ta a makarantar muhammadiyya,education,going to school,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://nuriddeen.blogspot.com/,2026-03-06,Bayan wani lokaci aka kai ta makarantar boko mai suna Ibrahim Dodo Priamary School,education,school attendance,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://nuriddeen.blogspot.com/,2026-03-06,a dai garin na Suleja,culture_and_religion,location,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://nuriddeen.blogspot.com/,2026-03-06,ana cikin haka ne aka kai ta Kaduna wajen wata 'yar uwansu,livelihoods_and_work,travel to Kaduna,public_interest,,safe,false,
Hausa,latin,Nigeria,Suleja,web_public,https://nuriddeen.blogspot.com/,2026-03-06,bayan ta zauna a can na wani dan lokaci sai aka dawo da ita Suleja (garin ta na haihuwa),culture_and_religion,Return from Suleja,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://nuriddeen.blogspot.com/,2026-03-06,Ta kamala makarantar ‘primary’ a shekarar 2001 kuma a wannan lokaci ne aka yi mata aure,education,education and marriage,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://nuriddeen.blogspot.com/,2026-03-06,"daga nan sai ta fara karatun 'Secondry' a Girlsday Secondry School, Suleja kuma ta kammala a shekarar 2007",education,secondary school education,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://nuriddeen.blogspot.com/,2026-03-06,"bayan ta haifi 'ya'ya uku duk mata, wadanda suka hada da: Maryam, Surayyah da kuma Nusaiba, sai auren nata ya mutu",culture_and_religion,family and life events,public_interest,,safe,false,
