language,script,country,region_dialect,source_type,source_ref,collection_date,text,domain,topic,theme,sensitive_characteristic,safety_flag,pii_removed,collector_id
Hausa,latin,Nigeria,Unknown,web_public,https://www.voahausa.com/,2026-03-04,"WASHINGTON, D",governance_civic,Location,public_interest,,safe,false,
Hausa,latin,Nigeria,Yola,web_public,https://www.voahausa.com/,2026-03-04,— Wasu gungun matasa da ba'a san ko suwaye ba suna kokarin shirya wani buki mai take 'Yola Beach Party' bukin da iyaye da kuma kungiyoyi ke zargin na nuna tsaraici ne,culture_and_religion,Yola Beach Party,public_interest,,safe,false,
Hausa,latin,Nigeria,Adamawa,web_public,https://www.voahausa.com/,2026-03-04,"Wannan shine karo na biyu da matasan ke shirya irin wannan buki, da kan hada samari da 'yan mata domin holewa, a wannan karon rundunar 'yan sandar jihar Adamawa ta ce ba zata kyale ba",culture_and_religion,Community event planning,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://www.voahausa.com/,2026-03-04,"Kakakin rundunar 'yan sandar jihar ta Adamawa DSP Suleiman Yahya Nguroje, ya ce hukumar su ta samu labarin wannan bukin, kuma hakan yasa suka tashi tsaye wajen ganin bukin bai gudana ba, don kuwa sun dau alwashin kawo karshen irin wannan mugunyar dabi'ar a ciki da wajen jihar",governance_civic,Police announcement about event,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://www.voahausa.com/,2026-03-04,Haka kungiyar 'Adamawa Concern Citizen,governance_civic,civil society organization,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://www.voahausa.com/,2026-03-04,"' na daya daga cikin kungiyoyin kare hakkin al'umma a jihar, ta bayyana bacin ranta kan wannan batu",governance_civic,expressing concern,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://www.voahausa.com/,2026-03-04,"Hon Hussaini Gambo Bello Nakura, shugaban kungiyar ya ce basa goyon bayan irin wannan halin na matasa",governance_civic,Hausa political leadership,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://www.voahausa.com/,2026-03-04,"Ya kara da cewar hakan babbar matsala ce da ba'a san ina zata kai ba, don kuwa yanzu matasa suke haddasa mafi akasarin matsaloli da ke fuskantar jama'a",governance_civic,Societal issues,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://www.voahausa.com/,2026-03-04,Don haka akwai bukatar iyaye su tashi tsaye wajen tarbiyar 'ya'yan su,culture_and_religion,Parenting responsibilities,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://www.voahausa.com/,2026-03-04,Suma wasu iyayeyn sun nuna rashin jin dadin su akan yadda ake samun irin wadannan bata garin da suke shirya irin wadannan sharholiyar,culture_and_religion,community planning,stereotypes,tribe,sensitive,false,
Hausa,latin,Nigeria,Standard,web_public,https://www.voahausa.com/,2026-03-04,"Ya zuwa yanzu dai wadanda suka shirya bukin, basu bayyanar da kansu ba, ko yin wasu abubuwa da zasu nuna su a bainar jama'a, a bangare daya kuwa jami'an tsaro na cigaba da farautar su",governance_civic,security operations,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://www.voahausa.com/,2026-03-04,Ga rahoton Ibrahim Abdul'aziz a cikin sauti,media_and_online,Audio report,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://www.voahausa.com/,2026-03-04,Embed A Yada An Tarwatsa Shirin Wasu Matasa Na Bukin Casu Maza Da Mata by VOA Embed A Yada The code has been copied to your clipboard,media_and_online,Hausa youth event,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://www.voahausa.com/,2026-03-04,The URL has been copied to your clipboard Nuna wa mutane akan Facebook Nuna wa mutane akan Twitter No media source currently available 0:00 0:03:10 0:00 Shiga Kai Tsaye 16 kbps | MP3 32 kbps | MP3 48 kbps | MP3 Bude sabon shafi,media_and_online,Media and online,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://www.voahausa.com/,2026-03-04,"— Wata Kotun majistare a Abuja ta tura dan jaridar nan kuma dan rajin tabbatar da demokaradiyya, Omoyele Sowore, ma'adana a gidan yarin Kuje gabanin duba bukatar ba da belin sa",governance_civic,Journalist court case,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://www.voahausa.com/,2026-03-04,"Sowore wanda shi ne mawallafin jaridar yanar gizo ta Sahara Reporters, kazalika ya jagoranci zanga-zangar juyin juya hali da 'yan sanda su ka zarge shi da yunkurin kifar da gwamnati ko cin amanar kasa",governance_civic,Political protest,public_interest,,sensitive,false,
Hausa,latin,Nigeria,Standard,web_public,https://www.voahausa.com/,2026-03-04,Wannan karo 'yan sanda sun kama Sowore da gurfanar da shi gaban kotu don zarginsa da tada fitina da gudanar da haramtaccen taro,governance_civic,Police arrest Sowore,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://www.voahausa.com/,2026-03-04,"""Wani ya na kiran a sauya gwamnati da halin makarkashiya, ba tare da bin tanadin tsarin mulki ba"" inji lauyan bangaren shigar da kara James Idachaba",governance_civic,Call for government change,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://www.voahausa.com/,2026-03-04,"Lauyan Sowore mai suna Marshal Abubakar ya ce, Sowore ya shiga kare masu zanga-zanga yayin da ya ga a na dukan daya daga cikinsu a yankin Gudu da ke Abuja",governance_civic,political protest,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://www.voahausa.com/,2026-03-04,"""A lokacin da Sowore ya ke sa baki don dakatar da cin zarafin mutumin, sai jami'ar 'yan sanda DSP Altine Daniel, ta yi dirar mikiya a kan sa har da fasa ma sa hanci",governance_civic,police action,hate_or_insult,ethnicity,sensitive,false,
Hausa,latin,Nigeria,Standard,web_public,https://www.voahausa.com/,2026-03-04,""" Inji Marshal Abubakar",culture_and_religion,Hausa statement,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://www.voahausa.com/,2026-03-04,Lauyan ya cigaba da cewa an kai su Sowore ofishin jami'an SARS da a ka soke a ka cigaba da azabtar da su,governance_civic,Police harassment,public_interest,ethnicity,sensitive,false,
Hausa,latin,Nigeria,Standard,web_public,https://www.voahausa.com/,2026-03-04,"Sowore, ya zargi gwamnatin Buhari da cin zalin sa ya na mai cewa ya gano ma har yanzu ba a rushe rundunar SARS ba",governance_civic,SARS criticism,public_interest,,safe,false,
Hausa,latin,Nigeria,Kano,web_public,https://www.voahausa.com/,2026-03-04,"""Lokacin da a ka kai mu ofishin tsare mutane na Abatuwa, na gano gwamnati ba ta rushe SARS ba, don sun tattaro 'yan SARS su ka doke mu da tura mu dakin tsare mutane",governance_civic,SARS arrest,public_interest,,sensitive,false,
Hausa,latin,Nigeria,Standard,web_public,https://www.voahausa.com/,2026-03-04,""" Alkalin kotun Mabel Segun Bello ya tsayar da Talatar nan don duba neman belin Sowore",governance_civic,court case,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://www.voahausa.com/,2026-03-04,Ga rahoton Nasiru Adamu El-Hikaya a cikin sauti,media_and_online,Nasiru Adamu's audio report,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://www.voahausa.com/,2026-03-04,"Embed A Yada An Sake Tuhumar Omoyele Sowore, Da Hada Taro Ba Bisa Ka'ida Ba by VOA Embed A Yada The code has been copied to your clipboard",governance_civic,Tuhumar Omoyele Sowore,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://www.voahausa.com/,2026-03-04,"The URL has been copied to your clipboard Nuna wa mutane akan Facebook Nuna wa mutane akan Twitter No media source currently available 0:00 0:02:04 0:00 Shiga Kai Tsaye 16 kbps | MP3 32 kbps | MP3 48 kbps | MP3 Bude sabon shafi Karin bayani akan: Najeriya​, SARS, Omoyele Sowore, da Nigeria",media_and_online,Hausa media and online content,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://www.voahausa.com/,2026-03-04,— Wani dan shekara 82 shi ne aka fara yi wa allurar riga kafin a asibitin Churchill da ke birnin Oxford,health,medical procedure,public_interest,age,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://www.voahausa.com/,2026-03-04,Jami’ai a Birtaniya sun ce yanzu haka akwai riga kafin guda dubu 500 da za a yi wa jama’a,health,COVID-19 restrictions,public_interest,,safe,false,
