stereotype_category,sentence_id,text,language,script,country,region_dialect,source_type,source_ref,collection_date,domain,topic,theme,sensitive_characteristic,safety_flag,pii_removed,target_gender,bias_label,explicitness,sentiment_toward_referent,device,qa_status,annotation_date,annotation_time_seconds,document_id,notes,review_notes,collector_id,annotator_id
uncategorized,69b07ce31f67e8d1030b165a,"""Sai na fahimci idan ba mu tashi tsaye mun kirkiri wani abu makamantan wadannan fina-finan ba, za a bar mu a baya",Hausa,latin,Nigeria,Standard,web_public,www.bbc.com/hausa,2026-02-19T00:00:00.000Z,media_and_online,film/movies,public_interest,,safe,false,neutral,neutral,implicit,neutral,narrative,accepted,2026-03-13T10:56:18.871Z,1917,74ec1eb4-508f-42d8-890f-996ea928870c,,,69b0472d1f67e8d10307c260,69b0472d1f67e8d10307c260
uncategorized,69b07ce31f67e8d1030b1651,"Ya na mai jaddada cewa gwamnatin Najeriya za ta ci gaba da karfafa dangantakar tsaro da Amurka musamman a fannonin musayar bayanan sirri, horaswa, musayar jami'ai da kuma sayen kayan yaki",Hausa,latin,Nigeria,Standard,web_public,https://www.voahausa.com/,2026-03-04T00:00:00.000Z,governance_civic,Government security cooperation with US,public_interest,,safe,false,neutral,neutral,implicit,neutral,narrative,accepted,2026-03-13T10:44:24.634Z,1203,74ec1eb4-508f-42d8-890f-996ea928870c,,,69b0472d1f67e8d10307c260,69b0472d1f67e8d10307c260
uncategorized,69b07ce31f67e8d1030b1652,"Lambobin Yabo da Girmamawa Mutum mai son bada gudunmawa kamar wannan ya samu lambobin yabo da girmamawa a ciki da wajen Najeriya da suka haɗa da: A nan gida Najeriya an bashi: ‘Nigerian Independence Medal’, ‘Forces Serɓice Star’, ‘Defence Serɓice Star’ ‘Nigeria Republic Medal’ ‘National Serɓice Medal’, da kuma ‘Order of Commander Federal Republic of Nigeria (CFR)’",Hausa,latin,Nigeria,Standard,web_public,https://www.rumbunilimi.com.ng/,2026-03-04T00:00:00.000Z,culture_and_religion,Honors and Awards,public_interest,,safe,false,male,stereotype,implicit,neutral,narrative,accepted,2026-03-13T10:45:39.147Z,1277,74ec1eb4-508f-42d8-890f-996ea928870c,,,69b0472d1f67e8d10307c260,69b0472d1f67e8d10307c260
uncategorized,69b07ce31f67e8d1030b1653,"Ana kiranta kuma da ƙasa, saboda kasancewarta yanki mai faɗi",Hausa,latin,Nigeria,Standard,web_public,https://www.rumbunilimi.com.ng/,2026-03-04T00:00:00.000Z,livelihoods_and_work,reading and land,public_interest,,safe,false,neutral,neutral,implicit,neutral,directive,accepted,2026-03-13T10:46:45.392Z,1344,74ec1eb4-508f-42d8-890f-996ea928870c,,,69b0472d1f67e8d10307c260,69b0472d1f67e8d10307c260
uncategorized,69b07ce31f67e8d1030b1654,Market Education Why does news move the market? Big institutions trade based on economic data. Retail traders react after. Stay informed. Trade smart Ilimin Kasuwa Me yasa labarai ke motsa kasuwa? Manyan kamfanoni suna ciniki ne bisa bayanan tattalin arziki #ForexNews [URL],hausa,latin,Nigeria,Standard,web_public,https://twitter.com/SalimTech169965/status/2016162584718619083,2026-01-27T00:00:00.000Z,livelihoods_and_work,Market and news,public_interest,,safe,true,neutral,neutral,implicit,neutral,narrative,accepted,2026-03-13T10:48:40.189Z,1458,74ec1eb4-508f-42d8-890f-996ea928870c,,,69b0472d1f67e8d10307c260,69b0472d1f67e8d10307c260
uncategorized,69b07ce31f67e8d1030b1655,Da fatan za a ci gaba da rubuto mana kamar yadda aka saba,Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19T00:00:00.000Z,education,writing and literacy,public_interest,,safe,false,neutral,neutral,implicit,neutral,narrative,accepted,2026-03-13T10:48:58.757Z,1477,74ec1eb4-508f-42d8-890f-996ea928870c,,,69b0472d1f67e8d10307c260,69b0472d1f67e8d10307c260
uncategorized,69b07ce31f67e8d1030b1656,"""Ba zai yiwu a lalata dimkokraɗiyya ba ta hanyar gudanar da zanga-zanga ba bisa ƙa'ida ba,"" in ji shi",Hausa,latin,Nigeria,Standard,web_public,www.bbc.com/hausa,2026-02-19T00:00:00.000Z,governance_civic,democracy and protests,public_interest,,safe,false,male,neutral,implicit,neutral,narrative,accepted,2026-03-13T10:50:12.563Z,1551,74ec1eb4-508f-42d8-890f-996ea928870c,,,69b0472d1f67e8d10307c260,69b0472d1f67e8d10307c260
uncategorized,69b07ce31f67e8d1030b1657,"Shi kuma abin nema ya samu, sai ya yi ta sakin bidiyo, misali bidiyon 'yan matan da ya sace wadanda ya yi alkawarin sayarwa",Hausa,latin,Nigeria,Standard,web_public,www.bbc.com/hausa,2026-02-19T00:00:00.000Z,media_and_online,online video,public_interest,gender,sensitive,false,female,neutral,implicit,negative,narrative,accepted,2026-03-13T10:52:40.392Z,1699,74ec1eb4-508f-42d8-890f-996ea928870c,,,69b0472d1f67e8d10307c260,69b0472d1f67e8d10307c260
uncategorized,69b07ce31f67e8d1030b1658,Tsarin shiga wannan gidan adana kayan tarihi dais hi ne; idan maziyarci ya shigo kofar wannan wuri zai ga dansanda tare da kwandon kudi da rasidai a gabansa,Hausa,latin,Nigeria,Standard,web_public,https://nuriddeen.blogspot.com/,2026-03-06T00:00:00.000Z,culture_and_religion,museum and historical artifacts,public_interest,,safe,false,neutral,neutral,implicit,neutral,narrative,accepted,2026-03-13T10:53:23.381Z,1741,74ec1eb4-508f-42d8-890f-996ea928870c,,,69b0472d1f67e8d10307c260,69b0472d1f67e8d10307c260
uncategorized,69b07ce31f67e8d1030b1659,"Soja: To kaima kasan dan adam, kuma soja duk inda yake ko yaya yake akwai abincin isar mu ne baya yi",Hausa,latin,Nigeria,Standard,web_public,https://www.voahausa.com/,2026-03-04T00:00:00.000Z,livelihoods_and_work,Soldier's duties,public_interest,,safe,false,male,stereotype,implicit,neutral,narrative,accepted,2026-03-13T10:55:27.113Z,1865,74ec1eb4-508f-42d8-890f-996ea928870c,,,69b0472d1f67e8d10307c260,69b0472d1f67e8d10307c260
