language,script,country,region_dialect,source_type,source_ref,collection_date,text,domain,topic,theme,sensitive_characteristic,safety_flag,pii_removed
yoruba,latin,Nigeria,Standard,web_public,https://alaroye.org/2025/09/16/wahala-nibi-tawon-eeyan-yii-ti-n-ba-won-daro-nile-olokuu-lawon-agbebon-loo-pa-won-si/,2025-09-16,"Monisọla Saka Kayeefi lọrọ awọn afurasi ọmọ ẹgbẹ okunkun tẹnikẹni ko ti i mọ inu ẹgbẹ ti wọn ti wa, ti wọn lọọ paayan mẹrin sibi ti wọn ti n sinku ọdọmọkunrin kan.",governance_civic,Suspicious group activity,hate_or_insult,ethnicity,sensitive,true
yoruba,latin,Nigeria,Standard,web_public,https://alaroye.org/2025/09/16/wahala-nibi-tawon-eeyan-yii-ti-n-ba-won-daro-nile-olokuu-lawon-agbebon-loo-pa-won-si/,2025-09-16,"Kiakia ni owe oku n sunkun oku, akaṣọleri n sunkun ara wọn ṣiṣẹ nibi eto isinku naa, nitori ọpọ awọn to lọ ni ko pada sile laaye.",culture_and_religion,Funeral customs,stereotypes,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://alaroye.org/2025/09/16/wahala-nibi-tawon-eeyan-yii-ti-n-ba-won-daro-nile-olokuu-lawon-agbebon-loo-pa-won-si/,2025-09-16,"Ileeṣẹ ọlọpaa ipinlẹ Anambra, ti wọn fọrọ naa lede sọ pe awọn ti n wa awọn olubi ẹda ti wọn pa awọn oludaro, nibi eto isinku ọkunrin ọmọ ọdun mejidinlogun kan, labule Ezi, Ogidi, nijọba ibilẹ Ariwa Idemili, nipinlẹ naa.",governance_civic,Police investigation of murder,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://alaroye.org/2025/09/16/wahala-nibi-tawon-eeyan-yii-ti-n-ba-won-daro-nile-olokuu-lawon-agbebon-loo-pa-won-si/,2025-09-16,"Lalẹ Ọjọbọ, Tọsidee, ọjọ kọkanla, oṣu Kẹsan-an, ọdun yii, ni awọn agbebọn ti wọn fura si pe wọn jẹ ọmọ ẹgbẹ okunkun yii ya lọ sibi ti wọn ti n ṣeto isinku naa, ko si din ni eeyan mẹrin ti wọn pa lojuẹsẹ, n ni oku di pupọ nilẹ, tawọn bii mẹẹẹdogun si fara pa gidi gan-an.",culture_and_religion,Funeral arrangement,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://alaroye.org/2025/09/16/wahala-nibi-tawon-eeyan-yii-ti-n-ba-won-daro-nile-olokuu-lawon-agbebon-loo-pa-won-si/,2025-09-16,"Wọn ni awọn mọlẹbi oku, ara, ọrẹ ati ojulumọ ni wọn pe jọ lalẹ ọjọ naa lati ṣẹyẹ ikẹyin fọmọ to ku, lasiko naa lawọn jagunlabi ya lu wọn lojiji, ti wọn da ibọn bo awọn eeyan naa.",culture_and_religion,Funeral gathering,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://alaroye.org/2025/09/16/wahala-nibi-tawon-eeyan-yii-ti-n-ba-won-daro-nile-olokuu-lawon-agbebon-loo-pa-won-si/,2025-09-16,"Bo tilẹ jẹ pe mẹrin lawọn ọlọpaa sọ pe awọn olubi ẹda naa pa, awọn tọrọ ṣoju wọn sọ pe iye eeyan ti wọn pa nibẹ ju mẹrin lọ.",governance_civic,Police and Criminals,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://alaroye.org/2025/09/16/wahala-nibi-tawon-eeyan-yii-ti-n-ba-won-daro-nile-olokuu-lawon-agbebon-loo-pa-won-si/,2025-09-16,"Ẹni kan to forukọ bo ara ẹ laṣiiri sọ pe, Lojiji lawọn ọdaju ẹda naa ya de lọjọ Tọsidee yẹn, ti wọn ṣina ibọn bolẹ fawọn to peju sibi eto isinku yii.",culture_and_religion,Funeral preparations,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://alaroye.org/2025/09/16/wahala-nibi-tawon-eeyan-yii-ti-n-ba-won-daro-nile-olokuu-lawon-agbebon-loo-pa-won-si/,2025-09-16,"Ni ayika ile oloogbe lawọn ẹbi atawọn ara ti n ṣọfọ lọwọ nigba tawọn agbebọn ọhun de, ti wọn n yinbọn sawọn to waa ba wọn ṣedaro, tawọn eeyan ọhun si n sa kabakaba, ti onikaluku n sa asala fun ẹmi wọn.",culture_and_religion,Community and family,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://alaroye.org/2025/09/16/wahala-nibi-tawon-eeyan-yii-ti-n-ba-won-daro-nile-olokuu-lawon-agbebon-loo-pa-won-si/,2025-09-16,"Ọkada ni wọn gun wa, bi wọn si ṣe pari iṣẹ ibi ti wọn ba wa ni wọn ti parẹ bii iso.",livelihoods_and_work,Transportation,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://alaroye.org/2025/09/16/wahala-nibi-tawon-eeyan-yii-ti-n-ba-won-daro-nile-olokuu-lawon-agbebon-loo-pa-won-si/,2025-09-16,"Ẹnikan toun naa mọ nipa iṣẹlẹ yii ṣalaye pe, Awọn ọrẹ oloogbe pejọ lati fi aisun ṣe ẹyẹ ikẹyin fun un ni.",culture_and_religion,Community event,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://alaroye.org/2025/09/16/wahala-nibi-tawon-eeyan-yii-ti-n-ba-won-daro-nile-olokuu-lawon-agbebon-loo-pa-won-si/,2025-09-16,"Wọn ti gbagbera bi wọn ṣe n fi ọti ṣe faaji, tawọn mi-in n fa sìgá ati oriṣiiriṣii nnkan mi-in.",culture_and_religion,social activities,public_interest,,safe,true
yoruba,latin,Nigeria,Oyo,web_public,https://alaroye.org/2025/09/16/wahala-nibi-tawon-eeyan-yii-ti-n-ba-won-daro-nile-olokuu-lawon-agbebon-loo-pa-won-si/,2025-09-16,"Laarin asiko ọhun lawọn ta a n wi yii de, ti wọn da ibọn bo awọn to jokoo jẹẹjẹ wọn yii.",governance_civic,armed conflict,public_interest,,safe,true
yoruba,latin,Nigeria,Oyo,web_public,https://alaroye.org/2025/09/16/wahala-nibi-tawon-eeyan-yii-ti-n-ba-won-daro-nile-olokuu-lawon-agbebon-loo-pa-won-si/,2025-09-16,"Nnkan to n fu awọn araalu lara bayii ni pe awọn ọmọ ẹgbẹ okunkun alatako fun ẹgbẹ mi-in ni wọn jade waa gbẹsan.",governance_civic,political group conflict,stereotypes,tribe,sensitive,true
yoruba,latin,Nigeria,Oyo,web_public,https://alaroye.org/2025/09/16/wahala-nibi-tawon-eeyan-yii-ti-n-ba-won-daro-nile-olokuu-lawon-agbebon-loo-pa-won-si/,2025-09-16,"Eeyan to le ni mẹjọ ni wọn pa, tawọn mi-in si gbọgbẹ latara ọta ibọn to ba wọn.",culture_and_religion,homicide and violence,hate_or_insult,ethnicity,sensitive,true
yoruba,latin,Nigeria,Standard,web_public,https://alaroye.org/2025/09/16/wahala-nibi-tawon-eeyan-yii-ti-n-ba-won-daro-nile-olokuu-lawon-agbebon-loo-pa-won-si/,2025-09-16,"Wọn ti gbe oku awọn eeyan ti wọn pa lọ si mọṣuari, awọn to fara pa naa n gba itọju lọwọ nileewosan.",culture_and_religion,Burial and Mortuary Care,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://alaroye.org/2025/09/16/wahala-nibi-tawon-eeyan-yii-ti-n-ba-won-daro-nile-olokuu-lawon-agbebon-loo-pa-won-si/,2025-09-16,"Ṣugbọn ninu atẹjade ti Tochukwu Ikenga, ti i ṣe agbẹnusọ ọlọpaa ipinlẹ Anambra fi sita, o ni eeyan mẹrin lo ba iṣẹlẹ naa lọ.",governance_civic,Police investigation,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://alaroye.org/2025/09/16/wahala-nibi-tawon-eeyan-yii-ti-n-ba-won-daro-nile-olokuu-lawon-agbebon-loo-pa-won-si/,2025-09-16,"O fi kun ọrọ rẹ pe iwadii awọn fi han pe iṣẹlẹ naa ni i ṣe pẹlu ija awọn ọmọ ẹgbẹ okunkun meji.",governance_civic,Violent group incident,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://alaroye.org/2025/09/16/wahala-nibi-tawon-eeyan-yii-ti-n-ba-won-daro-nile-olokuu-lawon-agbebon-loo-pa-won-si/,2025-09-16,"O ni ileeṣẹ ọlọpaa Anambra ti bẹrẹ iwadii to jinlẹ lori iṣẹlẹ naa, gbogbo akitiyan lawọn si n ṣe lati wa awọn ọbayejẹ naa kan, ki wọn le jiya ẹṣẹ wọn.",governance_civic,Police investigation,public_interest,,safe,true
yoruba,latin,Nigeria,Oyo,web_public,https://alaroye.org/2025/09/16/wahala-nibi-tawon-eeyan-yii-ti-n-ba-won-daro-nile-olokuu-lawon-agbebon-loo-pa-won-si/#respond,2025-09-16,"Monisọla Saka Kayeefi lọrọ awọn afurasi ọmọ ẹgbẹ okunkun tẹnikẹni ko ti i mọ inu ẹgbẹ ti wọn ti wa, ti wọn lọọ paayan mẹrin sibi ti wọn ti n sinku ọdọmọkunrin kan.",governance_civic,Suspicious activity,public_interest,ethnicity,sensitive,true
yoruba,latin,Nigeria,Standard,web_public,https://alaroye.org/2025/09/16/wahala-nibi-tawon-eeyan-yii-ti-n-ba-won-daro-nile-olokuu-lawon-agbebon-loo-pa-won-si/#respond,2025-09-16,"Kiakia ni owe oku n sunkun oku, akaṣọleri n sunkun ara wọn ṣiṣẹ nibi eto isinku naa, nitori ọpọ awọn to lọ ni ko pada sile laaye.",culture_and_religion,Mourning customs,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://alaroye.org/2025/09/16/wahala-nibi-tawon-eeyan-yii-ti-n-ba-won-daro-nile-olokuu-lawon-agbebon-loo-pa-won-si/#respond,2025-09-16,"Ileeṣẹ ọlọpaa ipinlẹ Anambra, ti wọn fọrọ naa lede sọ pe awọn ti n wa awọn olubi ẹda ti wọn pa awọn oludaro, nibi eto isinku ọkunrin ọmọ ọdun mejidinlogun kan, labule Ezi, Ogidi, nijọba ibilẹ Ariwa Idemili, nipinlẹ naa.",governance_civic,Police investigation,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://alaroye.org/2025/09/16/wahala-nibi-tawon-eeyan-yii-ti-n-ba-won-daro-nile-olokuu-lawon-agbebon-loo-pa-won-si/#respond,2025-09-16,"Lalẹ Ọjọbọ, Tọsidee, ọjọ kọkanla, oṣu Kẹsan-an, ọdun yii, ni awọn agbebọn ti wọn fura si pe wọn jẹ ọmọ ẹgbẹ okunkun yii ya lọ sibi ti wọn ti n ṣeto isinku naa, ko si din ni eeyan mẹrin ti wọn pa lojuẹsẹ, n ni oku di pupọ nilẹ, tawọn bii mẹẹẹdogun si fara pa gidi gan-an.",culture_and_religion,Burial arrangements,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://alaroye.org/2025/09/16/wahala-nibi-tawon-eeyan-yii-ti-n-ba-won-daro-nile-olokuu-lawon-agbebon-loo-pa-won-si/#respond,2025-09-16,"Wọn ni awọn mọlẹbi oku, ara, ọrẹ ati ojulumọ ni wọn pe jọ lalẹ ọjọ naa lati ṣẹyẹ ikẹyin fọmọ to ku, lasiko naa lawọn jagunlabi ya lu wọn lojiji, ti wọn da ibọn bo awọn eeyan naa.",culture_and_religion,Funeral rites,public_interest,,safe,true
