language,script,country,region_dialect,source_type,source_ref,collection_date,text,domain,topic,theme,sensitive_characteristic,safety_flag,pii_removed
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c1m7ygel03no,2026-01-29,"Ọkan lara awọn eeyan mọkanla to sa mọ awọn ajinigbe lọwọ niluu Isapa nipinlẹ Kwara, Gbemisola ti sọ pe itọ ara oun loun mu fun ọjọ mẹjọ ninu igbo lẹyin toun moribọ lọwọ awọn ajinigbe.",governance_civic,Crime and Safety,public_interest,,safe,true
yoruba,latin,Nigeria,Oyo,web_public,https://www.bbc.com/yoruba/articles/c1m7ygel03no,2026-01-29,"Arabinrin yii ti awọn araalu rẹ mọ si Iya Bẹskẹ ni awọn ajinigbe ji gbe papọ mọ awọn mẹwaa mii ni ilu Isapa losu kọkanla ọdun to kọja.",culture_and_religion,Community gathering,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c1m7ygel03no,2026-01-29,"Nigba to n ba BBC News Yoruba sọrọ, Iya Bẹskẹ sọ pe ti ko si ounjẹ tabi omi ninu igbo toun wa lẹyin ti ori ko oun yọ lọwọ ajinigbe.",health,food and water scarcity,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c1m7ygel03no,2026-01-29,"Gbemisola sọ pe yatọ si awọn mọkanla ti wọn jọ ko ninu ilu kan naa, awọn eniyan pọ ti wọn ko awọn papọ mọ awọn.",culture_and_religion,Difference between people in a town,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c1m7ygel03no,2026-01-29,"Arabinrin naa ni gbogbo igba ni awọn ajinigbe ọhun maa n jade bi ẹni to n ṣọdẹ lọ lati lọ ji awọn eeyan gbe wa si ibuba ti wọn fi wa si.",livelihoods_and_work,Hunting activity,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c1m7ygel03no,2026-01-29,"Arabinrin Gbemisola ni ''awọn ajinigbe yii maa n jẹ ounjẹ to dara ni ti wọn sugbọn ounjẹ ti ko ni iyọ tabi epo ni wọn n gbe fun awa jẹ.",health,Food quality and availability,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c1m7ygel03no,2026-01-29,"""Koda omi igo kan ni awa mẹjọ si mẹwaa maa n pin mu lọjọ kan.",household_and_care,Sharing water,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c1m7ygel03no,2026-01-29,"Igba ti a bere omi lọwọ wọn, wọn dahun pe, awọn o rowo ra omi nigba ti awọn eniyan wa kọ lati san owo ti awọn n beere fun.",household_and_care,Requesting and obtaining water,public_interest,,safe,true
yoruba,latin,Nigeria,Ijebu,web_public,https://www.bbc.com/yoruba/articles/c1m7ygel03no,2026-01-29,"End of Èyítí A  Kà Jùlọ Iya yi pọ to bẹẹ ti gbogbo wa fi pinnu lati sa asala fun ẹmi wa.'' Gbemisola ni awọn to gbọ ede Hausa ninu wa ti kọkọ gbọ ti awọn ajinigbe naa n sọ wi pe, yala bawọn eeyan wa ba sanwo tabi wọn o sanwo, pipa lawọn o pa wa.",culture_and_religion,Yoruba cultural beliefs,public_interest,,safe,true
yoruba,latin,Nigeria,Oyo,web_public,https://www.bbc.com/yoruba/articles/c1m7ygel03no,2026-01-29,"O ni eyi lo mu ọkan awọn le wi pe o san kawọn ku bi akọni nibi ti awọn ti n sa asala fun ẹmi awọn ju ki awọn ku bi ojo si ibuba awọn ajinigbe lọ.",culture_and_religion,Yoruba cultural beliefs,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c1m7ygel03no,2026-01-29,"Gbemisola sọ pe ''ọna ọtọọtọ ni a gba sa lọ, ki wọn ma baa ri wa mu pada.",governance_civic,Advice for avoiding trouble,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c1m7ygel03no,2026-01-29,"A gbera ni nnkan bi ago mọkanla alẹ, mo si n daa rin ninu igbo kijikiji titi di arọ ọjọ keji sugbọn mi o kan ilu kankan.",livelihoods_and_work,wandering in the forest,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c1m7ygel03no,2026-01-29,"Àjáàbalẹ̀ ìròyìn BBC News Yorùbá lórí WhatsApp rẹ End of podcast promotion Arabinrin Gbemisola ni ''igba tí ongbẹ gbẹ mi, mo ri ike ọti ẹlẹrindodod kan, inu rẹ ni mo n tọ si ti mo si n mu.",media_and_online,BBC News Yoruba podcast,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c1m7ygel03no,2026-01-29,"Bi mo ṣe ṣe niyẹn fun ọjọ mẹjọ gbako, mi o mọ pe bẹẹ ni itọ ṣe maa n koro lẹnu.'' Arabinrin Gbemisola sọ pe agara da oun nigba ti oun de aarin kan ti oun o si le tẹ siwaju mọ.",culture_and_religion,Yoruba culture and language,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c1m7ygel03no,2026-01-29,"Amọ, o ni ọkunrin Hausa kan to kọja lo foun ni kunnu ati omi toun mu.",culture_and_religion,Hausa man in Yoruba land,public_interest,ethnicity,sensitive,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c1m7ygel03no,2026-01-29,"O ni boun ṣe mu un tan ni inu rirun gbe oun, nitori inu oun ko fẹ gba nnkankan mọ lasiko yẹn.",culture_and_religion,Emotions and feelings,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c1m7ygel03no,2026-01-29,"Gbemisola ni nigba ti oju oun walẹ, loun tẹsiwaju pẹlu irin ajo oun.",livelihoods_and_work,travel and movement,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c1m7ygel03no,2026-01-29,"""Mo sa pada ja sinu ilu kan ti wọn ti n sọ ede Hausa ati Yoruba.",culture_and_religion,speaking Yoruba and Hausa,public_interest,,safe,true
