language,script,country,region_dialect,source_type,source_ref,collection_date,text,domain,topic,theme,sensitive_characteristic,safety_flag,pii_removed,collector_id,id,notes
Hausa,latin,Nigeria,Kano,web_public,https://gidandabino.blogspot.com/,2026-03-04,"Balaraba Ramat Yakubu, Kano, ranar 10/11/2012, karfe 9",culture_and_religion,personal details,public_interest,,safe,false,,,
hausa,latin,Nigeria,standard_hausa,media,https://www.bbc.com/hausa/articles/cwy884zd9nxo,2026-01-25T09:07:35.540Z,"To amma a wasu lardunan ƙasar da ba Yunnan ba, tsiron da ya fi haifar da damuwa shi ne ''enigma''.",media_and_online,news_reporting,public_interest,,safe,true,,105f8330-dfce-4c40-ad35-392bba4b4886,Collected from BBC Hausa
hausa,latin,Nigeria,Standard,web_public,https://twitter.com/GYARA_______/status/2016649341402829039,2026-01-28,Happy birthday my mentor [USER] Allah Yaqara lafiya da nisan kwana mai daurewa [URL],culture_and_religion,Birthday wishes,public_interest,,safe,true,,,
hausa,latin,Nigeria,standard_hausa,media,https://www.bbc.com/hausa/articles/c8013e018j9o,2026-01-25T09:07:35.217Z,"Yayin da Isra'ila ta amince da janye dakarunta zuwa bayan layin da aka shata, ƙarƙashin yarjejeniyar ta watan Oktoba, bidiyoyi da hotunan tauraron ɗan'adam da BBC Verify ta gani sun rika nuna motocin IDF na ayyukansu a gaban layin da aka shatan.",media_and_online,news_reporting,public_interest,,safe,true,,d7ebdc0b-baa3-4c82-99cf-3322695ad3e3,Collected from BBC Hausa
hausa,latin,Nigeria,standard_hausa,media,https://www.bbc.com/hausa/articles/cwy884zd9nxo,2026-01-25T09:07:35.535Z,"Kuma dukkansu da bayyana cin abu guda a matsayin abin da ya haifar mjusu matsalar: Tsiro Lanmaoa asiatica, wani nau'in tsiro mai alaƙa da bishiyar pine da ke cikin dazukan yankin.",media_and_online,news_reporting,public_interest,,safe,true,,932c8018-6c9f-44c1-94a3-2ad789af616e,Collected from BBC Hausa
Hausa,latin,Nigeria,Unknown,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,"66-68 ISSN [PHONE] [Print], ISSN [PHONE] [Online]",media_and_online,ISSN numbers,specialized_advice,,safe,TRUE,,,
Hausa,latin,Nigeria,Kano,web_public,https://gidanlabarai.blogspot.com/,2026-03-06,"A motar tawa xa a saka mahaukaciya, kuma tsabar walakanci sae in bar motar at risk da makulli a waje, you are dreaming"" Junaid ya girgixa kai yace ""Ka dae san ba sonka Allah ya fi yi a kanta ba da ya barka da hankalinka ita ya gusar mata da nata koh?"" El-Ameen yace ""Toh preacher, amma ni baxan bada motata ba period!"" Junaid bae ce komae ba ya fice daga dakin, tunanin wa enda xa su taimaka masa ya dauko mahaukaciyar ya dinga yi, sae da ya biya ya duba apartment din da aka samar masa ya ga ba laifi snn ya nufi gida",livelihoods_and_work,Car and foolishness,stereotypes,other,sensitive,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,"Kowane ɗaya daga cikin yankunan nan guda uku; Yankin Legas Yankin Kudu da kuma Yankin Arewa, karkasa su zuwa larduna",geography,Hausa regional divisions,public_interest,,safe,FALSE,,,
Hausa,latin,Nigeria,Unknown,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,com/2015/01/eɗ-president-general-olusegun-obasanjo,media_and_online,news article,public_interest,,safe,FALSE,,,
Hausa,latin,Nigeria,Standard,web_public,https://gidandabino.blogspot.com/,2026-03-04,"Amma don ba na son arar bakin marubuta in ci musu albasa sai na je kai tsaye ga marubuta don in ji waka a bakin mai ita, wato su marubutan su gaya min da kansu daga wasu jihohi kamar Kano da Kaduna da Bauchi da Jigawa, na kuma yi musu tambaya kamar haka: Salam",culture_and_religion,Discussing Hausa writers,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://www.bbc.com/hausa,2026-03-13,"Ya yi watsi da batun miƙa wuya, amma ya nuna buƙatar yin taka-tsantsan da ƙasashe maƙwafta.",governance_civic,Political issues,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,www.bbc.com/hausa,2026-02-19,"Ya rubuta littafi mai taken ""Mullah Mohammad Omar, Taliban da Afghanistan"" inda ya yi bayani tun asalin kafa Taliban da ka'idoji da kuma ƙawancenta da kasashe makwabta da kuma faɗuwarta da Taliban kafin harin 9/11",culture_and_religion,Taliban and Afghanistan,public_interest,,safe,false,,,
hausa,latin,Nigeria,standard_hausa,media,https://www.bbc.com/hausa/articles/cwy884zd9nxo,2026-01-25T09:07:35.548Z,"Suna bincike ne kan wani tsiro da wata tawagar ƴan mishan da suka ziyarci ƙasar shekara 30 da suka gabata da aka ce yana sa mutanen yankin ''rasa hankalinsu'', wani yanayi da masana suka bayyana da ''tsiron hauka''.",media_and_online,news_reporting,public_interest,,safe,true,,eab01d9c-4d02-486a-b860-e22c46eaa2ca,Collected from BBC Hausa
Hausa,latin,Nigeria,Standard,web_public,https://munbarin-musulunci.blogspot.com/,2026-03-04,"Dakuma Tasowa Daga Sujjada: Wasu yadda tsuntsuwa ko kaza take cin abinci haka suke yin sujjadarsu, kuma abinda ake Magana anan shine idan ka yi sujuda ka dago zaka zaunane tukunna sai dukkan gabbanka sun koma inda suke sannan ka koma zuwa sujjada ta biyu",culture_and_religion,Prayer posture and practice,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,"Sarkin wani gari ne yake fita ya yaƙi wani sarkin, da haka-da-haka har sai ya faɗaɗa ƙasarsa",governance_civic,Warfare between rulers,public_interest,,safe,FALSE,,,
Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19,"Allah saka da alherinsa, ya kuma bar zumunci, amin",culture_and_religion,prayer and supplication,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Sokoto,web_public,https://nuriddeen.blogspot.com/,2026-03-06,"Abin dai bai tsaya a nan ba, sai al'amari ya koma kan ‘yan uwa musulmi al’majiran Shaikh Zakzaky [H] inda wadannan zauna gari banza suke bin wuraren da ‘yan uwan ke zama kamar anguwar iya, anguwar magaji har ma da daya daga cikin makantun da ‘yan uwa ke da shi a garin na Suleja wato Madarisatu Amirul-mumineen [AS] wanda ke anguwan Kabula ko Mila-Link suna zagin ‘yan uwa cikin ife-ife da kade-kade suna cewa; ‘’Babu shi’a, Buhari ya kashe ‘yan shi’a, shi’a karya ne",culture_and_religion,Zakzaky followers activities,hate_or_insult,religion,sensitive,false,,,
Hausa,latin,Nigeria,Kano,web_public,https://gidanlabarai.blogspot.com/,2026-03-06,"Har aka kira Magrib Junaid na kwance palon Mumy duk ya rasa yanda xae ce mata xai fita, mikewa yayi ya nufi toilet din palon yayi alwala ya fita xuwa masallaci, yana dawowa ya nufi part din Abba sanin ya shiga yanxu, Hajiya ce a parlour'n tana jera masa abincin supper a kasan lallausan rug din tsakar parlour, ya karasa ciki kansa a kasa yace ""Ina yini?"" Hade rai tayi tace ""Ka fita don Allah abinci xai ci ynxu"" tsayawa kallonta yayi, dai dai lkcn da Abba ya fito daga bedroom dinsa, Abba ya karaso cikin palon yana kallonsa, karasawa yayi inda Abba ya xauna, ya xauna daga kasa shi ma, a hankali yace ""sannu da dawowa Abba"" Abba yace ""yauwa sannu, ya aikin?"" Har lokacin bai dago ba yace ""Alhmdllh!"" Abba yace ""Gud!",household_and_care,Household activities and prayer,public_interest,,safe,false,,,
Hausa,latin,Nigeria,Standard,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,"Dongane da wannan gaɓa, har ya zuwa yau ɗin nan (2019), akwai wasu unguwanni a cikin garin Maiduguri, kamar irin su Dikeciri da sauran su, waɗanda duk gidan da ka shiga ba za ka rasa mahaddacin Alƙur’ani guda ɗaya ba, kamar yadda Ahmad Sa’ad Ngamdu ya shaida mana a cikin tattaunawar da muka yi da shi a ranar Lahadi 11/6/2019 a Abuja",culture_and_religion,Islamic religious practice,public_interest,,safe,FALSE,,,
hausa,latin,Nigeria,standard_hausa,media,https://www.bbc.com/hausa/articles/cx2le5j6429o,2026-01-25T09:07:34.869Z,"Ana nuna matuƙar shakku da damuwa kan yiwuwar rugujewar gwamnatin Iran a waɗannan ƙasashe, saboda ana fargabar hakan zai iya haifar da ɓullar mayaƙan sa-kai masu adawa da juna ko kuma bullowar ƙungiyoyi masu iƙirarin ballewa a cikin kasar.",media_and_online,news_reporting,public_interest,,safe,true,,305af3a6-5bbd-4975-a6f4-1e5274ccbf2f,Collected from BBC Hausa
Hausa,latin,Nigeria,Standard,web_public,https://www.rumbunilimi.com.ng/,2026-03-04,"Suna iya zama da kowace ƙabila su koyi yarenta, da al’adunta da sana’ointa su kuma yi auratayya a duk gurin da suka samu kansu",culture_and_religion,cultural practices,public_interest,,safe,FALSE,,,
