language,script,country,region_dialect,source_type,source_ref,collection_date,text,domain,topic,theme,sensitive_characteristic,safety_flag,pii_removed,collector_id
Hausa,latin,Nigeria,Standard,web_public,https://munbarin-musulunci.blogspot.com/,2026-03-04,"SAHUR DA BUDA-BAKI Da sunan Allah mai yawan rahama mai yawan jinkai, tsira da amincin Allah su tabbata ga Annabi Muhammad, da iyalansa da sahabbansa baki daya",culture_and_religion,Islamic prayer or blessing,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://munbarin-musulunci.blogspot.com/,2026-03-04,"Bayan haka: A daidai wannan lokacin da muke kawo bayanai akan hukunce hukuncen azumin watan Ramadan, to a wannan muna son mu kawo bayanai akan abinda ya shafi hukunce hukuncen sahur da mude baki, da fatan Allah ya yi mana jagora ya kuma datar da mu ya kuma anfanar da mu",culture_and_religion,Ramadan fasting rules,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://munbarin-musulunci.blogspot.com/,2026-03-04,Shi ne abin ci ko abin sha da mai azumi yake kusa da fitowar alfijr na biyu,culture_and_religion,Fasting and prayer,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://munbarin-musulunci.blogspot.com/,2026-03-04,Lokacin kuma shi ake kira da lokacin suhur,culture_and_religion,time of day,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://munbarin-musulunci.blogspot.com/,2026-03-04,Kenan anan duk abinda mai azumi ya ci ko ya sha a daidai wannan lokaci shi ake cewa suhur,culture_and_religion,Fasting and suhur,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://munbarin-musulunci.blogspot.com/,2026-03-04,FALALAR SUHUR,culture_and_religion,Meal times,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://munbarin-musulunci.blogspot.com/,2026-03-04,"Suhur yana da matukar falala da albarka, Ma’aikin Allah tsira da amincin Allah su tabbata a gare shi ya ce: ((تسحروا فإن في السحور بركة))",culture_and_religion,Islamic practice,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://munbarin-musulunci.blogspot.com/,2026-03-04,رواه البخاري ومسلم,culture_and_religion,Hadith attribution,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://munbarin-musulunci.blogspot.com/,2026-03-04,Ma’ana: “Ku yi suhur domin a cikin suhur akwai albarka”,culture_and_religion,Suhur and blessings,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://munbarin-musulunci.blogspot.com/,2026-03-04,Bukhari da Muslim suka ruwaito,culture_and_religion,hadith transmission,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://munbarin-musulunci.blogspot.com/,2026-03-04,"Wannan na nuna matsayi da daraja kana da falala ta suhur, ba gwaninta ba ce ko birgewa mutum ya ce ai shi ba ya sahur, lalle mutum Musulmi ya yi iya kokarinsa wurin cin sahur a kowanne azumi na farilla ko na nafila, koda ruwa ne ya sha",culture_and_religion,Fasting and Suhur,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://munbarin-musulunci.blogspot.com/,2026-03-04,LOKACIN CIN SAHUR,culture_and_religion,Sahur meal,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://munbarin-musulunci.blogspot.com/,2026-03-04,"Ana cin suhur ne akarshen dare ba’a farkon dare ba, ba kuma a tsakiyar dareba, domin kada mutum ya ci abin ci a farkon dare ko a tsakiyar dare ya ce ya ci suhur, wannan dai ya ci abin ci amma ba sahur ba",culture_and_religion,Suhur (pre-dawn meal),public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://munbarin-musulunci.blogspot.com/,2026-03-04,"Kowacce kasa da kuma birane kana da karkara akwai lokacin da alfijir yake fitowa, domin babu wani takamamman lokaci na karfe nawa alfijr yake fitowa",culture_and_religion,Time of sunrise,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://munbarin-musulunci.blogspot.com/,2026-03-04,"Babban abinda ake so a sani shi ne, alfijir ya kasu kashi biyu: Kashi Na Farko: Wanda yake fitowa bada dadewa ba kuma yake bacewa, to wannan ba ya hana cin abincin suhur, kuma ba ya sawa a yi sallar asuba",culture_and_religion,Ramadan fasting and prayer,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,https://munbarin-musulunci.blogspot.com/,2026-03-04,"Kashi Na Biyu: Wanda shi ne yake fitowa ya tokare sasannin sama, to wannan shi ke hana mai sahur cin abin ci, kuma shi ke sawa a yi sallar asuba",culture_and_religion,Hausa religious practices,public_interest,,safe,false,
