language,script,country,region_dialect,source_type,source_ref,collection_date,text,domain,topic,theme,sensitive_characteristic,safety_flag,pii_removed,collector_id
Hausa,latin,Nigeria,Standard,web_public,www.bbc.com/hausa,2026-02-19,Nan ne muka kawo karshen labarai da rahotannin na wannan rana,media_and_online,news and reports,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,www.bbc.com/hausa,2026-02-19,Sai ku kasance tare da mu a gobe Litinin idan rai ya kai mu domin sake kawo muku wasu labarai da rahotannin na musamman,governance_civic,Invitation to meeting,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,www.bbc.com/hausa,2026-02-19,Getty ImagesCopyright: Getty ImagesRahotanni sun ce tawagar bincike ta Saudiyya a Jami’ar Imam Abdulrahman bin Faisal ta samar da rigakafin korona kuma suna fatan fara gwajin rigakafin ba da dadewa ba,health,coronavirus vaccine,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,www.bbc.com/hausa,2026-02-19,"Jaridar Saudiyya da ake bugawa a London Al-Sharq al-Awsat ce ta bayar da rahoton a ranar Asabar inda ta ce tawagar wacce mace ke jagoranta, Farfesa Iman al-Mansour ta kammala gwajin farko kuma an har an wallafa sakamakon binciken na kimiya",media_and_online,Saudi newspaper reporting,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,www.bbc.com/hausa,2026-02-19,Yanzu ana jiran tabbatar da ingancin rigakafin da nufin samun lasisin amfani da rigakafin a Saudiyya,health,Hausa medicine and health,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,www.bbc.com/hausa,2026-02-19,Ma’aikatar ilimi ta Saudiyya ce ta ɗauki nauyin gudanar da aikin binciken,education,education ministry Saudi Arabia,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,www.bbc.com/hausa,2026-02-19,Tuni dai Saudiyya ta ce za ta kaddamar da aikin rigakafi a ƙasar na kamfanin Pfizer-BioNtech,health,COVID-19 vaccine,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,www.bbc.com/hausa,2026-02-19,"Babban hafsan sojojin Najeriya, Janar Tukur Buratai, ya yaba wa dakarunsa da suka kwato sansanin sojoji a yankin arewa maso gabashin kasar da mayaƙan jihadi suka yi iƙirarin kwace wa",governance_civic,Nigerian military operation,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,www.bbc.com/hausa,2026-02-19,"Wani mai magana da yawun rundunar sojin ya ce sojojin sama sun taka rawar gani, tare da kai hare-hare wajen fatattakar mayaƙan da suka abka wa sansanin ɗauke da muggan makamai domin kwace sansanin da ke Marte a jihar Borno",governance_civic,Hausa military operations,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,www.bbc.com/hausa,2026-02-19,Rahotanni sun ce an shafe tsawon sa’a takwas ana gwabza fada tsakanin mayaƙan ISWAP da ta balle daga Boko Haram da kuma sojin Najeriya,governance_civic,Conflict between ISWAP and Boko Haram,public_interest,,safe,false,
Hausa,latin,Nigeria,Kano,web_public,www.bbc.com/hausa,2026-02-19,ISWAP ta ce ta tarwatsa garin tare da kone sansanin da kuma kashe sojoji da dama,governance_civic,Violent attack,public_interest,ethnicity,sensitive,false,
Hausa,latin,Nigeria,Unknown,web_public,www.bbc.com/hausa,2026-02-19,View more on twitterView more on twitter,media_and_online,twitter,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,www.bbc.com/hausa,2026-02-19,Gwamnatin Najeriya ta ce dole a yi wa jami’an diflomasiya rijistar lambar NIN,governance_civic,National ID card registration,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,www.bbc.com/hausa,2026-02-19,"Ministan sadarwa Dakta Isa Ibrahim Pantami, ne ya bayar da umurnin samar da cibiyar yin rijistar ga jami’an diflomasiyya a ma’aikatar harakokin wajen Najeriya a cikin wata sanarwa",governance_civic,government announcement,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,www.bbc.com/hausa,2026-02-19,Sanarwar ta ce a ranar Talata ne 19 ga Janairun wannan watan za a samar da wurinaikin yin rijistar a ma’aikatar harakokin waje,governance_civic,Announcement of registration event,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,www.bbc.com/hausa,2026-02-19,Ministan ya ce lambar ta sheda wajibi ce ga ƴan ƙasashen waje da za su shafe shekara biyu ko fiye a ƙasar,governance_civic,Immigration requirements,public_interest,,safe,false,
Hausa,latin,Nigeria,Standard,web_public,www.bbc.com/hausa,2026-02-19,"Kafofin yada labaran gwamnati a Sudan sun ce aƙalla mutum 48 aka kashe a rikicin ƙabilanci a yankin Darfur, wanda aka fara ranar Asabar",governance_civic,Ethnic conflict in Darfur,public_interest,ethnicity,sensitive,false,
Hausa,latin,Nigeria,Standard,web_public,www.bbc.com/hausa,2026-02-19,"Rikicin ya fara ne lokacin da aka daba wa wani mutum wuka ya mutu har lahira a El- Geneina, babban birnin jihar Darfur ta Yamma, lamarin da ya haifar da rikici",governance_civic,violent incident in Darfur,public_interest,ethnicity,sensitive,false,
Hausa,latin,Nigeria,Standard,web_public,www.bbc.com/hausa,2026-02-19,"Mahukuntan yankin sun sanya dokar hana fitar dare a duk fadin jihar; kuma Firaninistan Sudan, Abdalla Hamdok, ya tura wata babbar tawaga zuwa Darfur don binciken rikicin",governance_civic,"Hausa region curfew, Darfur conflict",public_interest,,safe,false,
