language,script,country,region_dialect,source_type,source_ref,collection_date,text,domain,topic,theme,sensitive_characteristic,safety_flag,pii_removed
hausa,latin,Nigeria,Kano,web_public,https://twitter.com/gidanmemes/status/2016644984754077783,2026-01-28,"Indai Kina da saurayi dan Barcelona toh kiyi billing nashi kawae, yau yana cikin mood mai kyau [URL]",household_and_care,Relationship advice,public_interest,,sensitive,true
hausa,latin,Nigeria,Standard,web_public,https://twitter.com/Mayor_of_web30x/status/2016634880902250628,2026-01-28,"[USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] [USER] Saurayi kmr ka in which state did you live",livelihoods_and_work,location,public_interest,,safe,true
hausa,latin,Nigeria,Standard,web_public,https://twitter.com/dezatour3/status/2016588833999958457,2026-01-28,"Kiss (sumbata) yanada illoli ga lafiyar jiki Dagacikin illolinsa, yana haddasa: - yaɗuwar ƙwayar cutar mura - sanyi - ciwon tari - ƙurajen baki - yaɗuwar ƙwayar cutar dake haddasa ciwon haƙori, ciwon dasashi, da warin baki Budurwa, kar ki bari saurayi ya sumbaceki akwai [URL]",health,Health and wellbeing,public_interest,,safe,true
hausa,latin,Nigeria,Kano,web_public,https://twitter.com/Kbvip02/status/2016505756892164598,2026-01-28,"[USER] [USER] Gsky ne wanna, gsky yanxu duk kusan an watsar da yin hk yanxu sai kaga yarinya tana soyayya da saurayi kusan shekara biyu uku Amma sai kasamu iyaye basu sanshi ba ko kaga dan yana da kudi ko tambayar waye shi daga ina yake me yake, a duk bb wanna tunda yana da kudi ai shikenan",household_and_care,Romantic relationship and parental approval,public_interest,,safe,true
hausa,latin,Nigeria,Standard,web_public,https://twitter.com/__Shatu_/status/2016468637993865377,2026-01-28,"Ni yarinyar nan zata cewa inna cigaba da posting hoton kanina bazanyi saurayi ba. In saurayin yazo ta koreshi mugani",household_and_care,Family and relationships,stereotypes,,sensitive,true
hausa,latin,Nigeria,Kano,web_public,https://twitter.com/dezatour3/status/2016241575647461503,2026-01-27,"ki dinga wa saurayi ki kyautar kudi,ki kaisa outing ko sau daya a shekara, hanty baza ki mutu ba",household_and_care,relationships and gifts,specialized_advice,,safe,true
hausa,latin,Nigeria,Kano,web_public,https://twitter.com/_Big__brother/status/2016181573570207809,2026-01-27,"Shawara takeso Na b!yewa saurayi da'ga zuwa gar!nmu kawaii y yaudar£ni mukayi abunda babu kyau sau Daya tun da'ga watan ban'ga peri0d Dina BA gashi ynxu wata uku K£nan ci'kina sai girma yake ina ts0ron inje asibiti ace mun ciki ne wlhy don Allah Ku fa'da mun yya Znyi da cikinnan [URL]",health,personal concern and advice,specialized_advice,health_status,sensitive,true
hausa,latin,Nigeria,Standard,web_public,https://twitter.com/_Big__brother/status/2016105806710690124,2026-01-27,"Idan Mace tana Sonka da Gaske, Baka Buqatar kazo kana Rigima da ita Akan ta daina Kula Wani Saurayi.",culture_and_religion,romantic relationship,public_interest,,safe,true
hausa,latin,Nigeria,Standard,web_public,https://twitter.com/Addeenny/status/2016082747803000938,2026-01-27,"Taya kake tunanin Za'a zauna Lafiya Ana samun saurayi ya'yi wa Yan Mata Goma Alkawarin Aure?",culture_and_religion,Marriage proposal,public_interest,,safe,true
hausa,latin,Nigeria,Standard,web_public,https://twitter.com/DaddyJibril/status/2015915348734759253,2026-01-26,"Sau nawa aka kwace Miki Saurayi.",culture_and_religion,Asking a question,public_interest,,safe,true
hausa,latin,Nigeria,Standard,web_public,https://twitter.com/S_Usman001/status/2015904417548017930,2026-01-26,"[USER] Indai hakane Shawara daya dazan baki kada kiyi saurayi ko miji mai kallon ball",culture_and_religion,advice to a person,public_interest,,safe,true
hausa,latin,Nigeria,Standard,web_public,https://twitter.com/SunusiMinjibir/status/2015753414685114586,2026-01-26,"[USER] Dan saurayi shar dakai",culture_and_religion,young man enters gate,public_interest,,safe,true
hausa,latin,Nigeria,Kano,web_public,https://twitter.com/SeniorManICT/status/2015698600743874982,2026-01-26,"[USER] Gsky wasu suna jahiltar lamarin Ubangiji wlh duk dadewar budurwa ko saurayi ba tare da aure ba, lokacinsu ne baiyi ba, amma in yayi to ba sunaso ko basa so sai sunyi aure, haihuwa, arziki, ajali wadannan duk wanda lokacinsu baiyiba sai anyi hakuri wannan shine gskyr zance",culture_and_religion,Premarital relationships,misinformation,age,gender,sensitive,true
hausa,latin,Nigeria,Zaria,web_public,https://twitter.com/el_uthmaan/status/2015650512234799394,2026-01-26,"Abubuwan da ame lura dangane da Saurayi in za a bashi Yarinya ya Aura - Shiekh Muhd Auwal Albani Zaria, Rahimahullah. [URL]",culture_and_religion,Advice for youth,public_interest,,safe,true
hausa,latin,Nigeria,Standard,web_public,https://twitter.com/AhmadAb07597376/status/2015418345449832887,2026-01-25,"Kuɗin da ki ke roƙar saurayi kafin ki haɗu da shi ya ki ke rayuwa? Bayan ya gane gaskiya ya gudu ya ki ka cigaba da rayuwar? [URL]",culture_and_religion,Relationships and marriage,specialized_advice,gender,sensitive,true
hausa,latin,Nigeria,Standard,web_public,https://twitter.com/bmjvermerlleey/status/2015400097459102040,2026-01-25,"Kuɗin da ki ke roƙar saurayi kafin ki haɗu da shi ya ki ke rayuwa? Bayan ya gane gaskiya ya gudu ya ki ka cigaba da rayuwar?",household_and_care,Relationship questions,public_interest,,safe,true
hausa,latin,Nigeria,Kano,web_public,https://twitter.com/Musabestseller/status/2015186616445268293,2026-01-24,"Ƙawayen budurwa sun ragargaje tarin bulon ginin saurayi bayan ya fasa auren ƙawarsu [URL]",culture_and_religion,Marriage and relationships,public_interest,,safe,true
hausa,latin,Nigeria,Kano,web_public,https://twitter.com/_AbbaElmustapha/status/2015172536363819370,2026-01-24,"kice father yayi gulafa yana saurayi [URL]",culture_and_religion,family and relationship,public_interest,,safe,true
hausa,latin,Nigeria,Standard,web_public,https://twitter.com/Ahmerd_yaroo/status/2015162352421720354,2026-01-24,"[USER] Shiyasa bakida saurayi ai",culture_and_religion,Relationship dynamics,stereotypes,,safe,true
hausa,latin,Nigeria,Kano,web_public,https://twitter.com/mazanjeeyaa/status/2015105770526806222,2026-01-24,"In Saurayi Ya Baki Kuɗi Kice, Ka Ajiye Mini Duk Ranar Daka Aure Ni Zan Karɓa. Yan MATA A Gyara #mazanjeeya",culture_and_religion,Wedding invitation,public_interest,,safe,true
hausa,latin,Nigeria,Standard,web_public,https://twitter.com/AuwalBarwa/status/2015003967479021844,2026-01-24,"Irin Matan nan Masu Dafa Wa Saurayi Abinci Idan Yaje Fira Sun Kare, Matan Yanzu Sun Watsar Da Al'ada Wallahi",culture_and_religion,Women who cook for young men,stereotypes,gender,sensitive,true
hausa,latin,Nigeria,Standard,web_public,https://twitter.com/KngNurish/status/2014800162443382953,2026-01-23,"[USER] Saurayi ba ma miji ba? Lallai yaranta mai daɗi..",culture_and_religion,Marriage and children,stereotypes,gender,sensitive,true
hausa,latin,Nigeria,Kano,web_public,https://twitter.com/Kidxfather/status/2014783805404405871,2026-01-23,"[USER] tun kina qarama kk tunanin saurayi sannu",culture_and_religion,romantic advice,specialized_advice,,safe,true
hausa,latin,Nigeria,Kano,web_public,https://twitter.com/uxtazerhzee/status/2014747579477631023,2026-01-23,"Da ina karama nadauka duk wanda nagani da tabon sallah shine mumini,Kullum innai sallah sai ince Allah yasa yafitomini kuma yabani saurayi mai irinshi",culture_and_religion,Islamic prayer and faith,public_interest,,safe,true
hausa,latin,Nigeria,Standard,web_public,https://twitter.com/YusufNagoma/status/2014686493822861535,2026-01-23,"[USER] Mu Kungiyar (MJMTD) Munyi Allah wadai da wannan saurayi",culture_and_religion,religion and community,public_interest,,safe,true
hausa,latin,Nigeria,Standard,web_public,https://twitter.com/MohammadMa95777/status/2014462129571516531,2026-01-22,"Duk budurwa ko saurayi da basa zina, Allah Ya bude masu hanyoyin arziki. Allah Ya hada su da abokan zama da zasu kaisu Aljannah [URL]",culture_and_religion,Religious advice,public_interest,,safe,true
hausa,latin,Nigeria,Standard,web_public,https://twitter.com/crushsee_ker/status/2014443682410172755,2026-01-22,"[USER] Sbd kinyi syy da bakin saurayi ya yaudareki ba shine yake nufin duka haka muke ba",governance_civic,advice or warning,public_interest,,safe,true
hausa,latin,Nigeria,Standard,web_public,https://twitter.com/Maimunah_uba/status/2014434254634004622,2026-01-22,"[USER] Yoo ni ai sabida baqin jina na bantaba yin saurayi ba",culture_and_religion,Greeting and rejection,hate_or_insult,gender,sensitive,true
hausa,latin,Nigeria,Standard,web_public,https://twitter.com/Samudari_comdr/status/2014216020676706386,2026-01-22,"[USER] Da saurayi ne toh, ammah miji kam, ai bakin alkalami ya bushe.",culture_and_religion,Advice or commentary,public_interest,,safe,true
hausa,latin,Nigeria,Kano,web_public,https://twitter.com/DanjumaDanjuu/status/2016651912972558501,2026-01-28,"[USER] Ah dole kice mijinsu nada budurwa irin wannan idanuwa haka",culture_and_religion,Marriage and family,stereotypes,gender,sensitive,true
hausa,latin,Nigeria,Standard,web_public,https://twitter.com/Sir_Allameen/status/2016623399947190712,2026-01-28,"[USER] Saidai kiyi hakuri kema boyfriend naki Yana da budurwa",culture_and_religion,romantic relationship,stereotypes,gender,sensitive,true
hausa,latin,Nigeria,Standard,web_public,https://twitter.com/Bliss_beebaah/status/2016605704014946779,2026-01-28,"Sedai kiyi hakuri amma tabbas mijinki yanada budurwa",culture_and_religion,infidelity,stereotypes,gender,sensitive,true
hausa,latin,Nigeria,Kano,web_public,https://twitter.com/ismailaliyu3136/status/2016584845846069518,2026-01-28,"Gaskiya samarin Nigeria kuna bani mamaki taya akasarku kunada 1000 guda biyu 500 guda biyu 200 guda biyu 100 guda biyu kaikuma katsaya wajen budurwa daya gsky kucanza tinani $ZET [USER]",livelihoods_and_work,Surprise at Nigerian currency,misinformation,,sensitive,true
hausa,latin,Nigeria,Kano,web_public,https://twitter.com/_Big__brother/status/2016448533105176799,2026-01-28,"Meyasa mace zatai kunshi kiso duk Dan taburge mijinta Amma wasu maza Koh kallo Bata ishesuba. Amma inde bazawarace Koh budurwa saikaji anata yabawa harda bada tukuici. Meyasa!",household_and_care,Marital conflict,stereotypes,gender,sensitive,true
